Name,Url,Authority,Started On,Finished On,License Number
Python for Business Data Analytics & Intelligence,,Zero To Mastery Academy,Oct 2022,,CERT_60VZRKH7
Certificate of completion - Git and GitHub,https://learn.365datascience.com/c/7e9bd519fd,365 Data Science,Nov 2022,,CC-4C67163DFB
GitHub for Data Scientists,https://www.linkedin.com/learning/certificates/bea9b9b97b365cee0383f5ae2aac09f99a06639740d17a40da4598b701dd8026,LinkedIn,Dec 2022,,
SQL Essential Training,https://www.linkedin.com/learning/certificates/15b1f6b57ff596c8147b42f50369acb855ecff86b84534d4f3342a3fb4485d0e,LinkedIn,Dec 2022,,
Google Data Analytics,https://www.coursera.org/account/accomplishments/professional-cert/F6PBNUHELKTW,Coursera,Jan 2023,,F6PBNUHELKTW
