Event Name,Event Time,Status,External Url
CTDI Charlotte Hiring Event,"Sep 29, 2022 02:00 PM - Sep 29, 2022 08:00 PM",RELINQUISHED,www.ctdi.com/careers/
How to groom yourself as a strong Data Science Talent?,"Oct 09, 2022 03:00 PM - Oct 09, 2022 03:30 PM",RELINQUISHED,
Virtual Job Fair - November 3rd,"Nov 03, 2022 06:00 PM - Nov 03, 2022 08:00 PM",APPROVED,
Live Data Analytics Portfolio Review with Alex the Analyst,"Jan 25, 2023 04:00 PM - Jan 25, 2023 05:00 PM",APPROVED,
