Name,Number
Statistical Analysis and Modeling,
Analysis and Design of Database Systems,
Data Warehousing,
Forecasting Methods,
Decision and Risk Analytics,
Business Data Analytics,
Data Re-Engineering,
Business Intelligence,
Econometrics,
Advanced Decision Analytics,
