Company Name,Title,Description,Location,Started On,Finished On
Ourdate,Product Analyst,"● Gathered and analyzed data to inform product decisions and solve business problems. ● Created reports, dashboards, and presentations to communicate data-driven insights to stakeholders. ● Collaborated with cross-functional teams, such as product, design, and engineering, to understand business goals and needs. ● Stayed up-to-date with industry trends and best practices in data analysis and product management.","California, United States",Jul 2022,Jan 2023
Tenhard India Pvt Ltd.,Summer Intern,,"Noida, Uttar Pradesh, India",Apr 2021,Jun 2021
